id,district,group,value,year,population,order
1,종로구,국민기초생활보장수급권자,888,2010,6009,22
2,중구,국민기초생활보장수급권자,904,2010,4788,24
3,용산구,국민기초생활보장수급권자,1189,2010,7365,17
4,성동구,국민기초생활보장수급권자,1155,2010,7627,16
5,광진구,국민기초생활보장수급권자,1176,2010,7279,18
6,동대문구,국민기초생활보장수급권자,1212,2010,5033,23
7,중랑구,국민기초생활보장수급권자,1827,2010,8694,8
8,성북구,국민기초생활보장수급권자,1157,2010,7112,19
9,강북구,국민기초생활보장수급권자,1753,2010,8839,7
10,도봉구,국민기초생활보장수급권자,702,2010,6265,21
11,노원구,국민기초생활보장수급권자,2610,2010,12730,1
12,은평구,국민기초생활보장수급권자,1795,2010,12401,2
13,서대문구,국민기초생활보장수급권자,1084,2010,8210,12
14,마포구,국민기초생활보장수급권자,1159,2010,8676,9
15,양천구,국민기초생활보장수급권자,1370,2010,8075,14
16,강서구,국민기초생활보장수급권자,2443,2010,10577,3
17,구로구,국민기초생활보장수급권자,1306,2010,8024,15
18,금천구,국민기초생활보장수급권자,1449,2010,4660,25
19,영등포구,국민기초생활보장수급권자,1788,2010,8955,6
20,동작구,국민기초생활보장수급권자,1426,2010,8638,10
21,관악구,국민기초생활보장수급권자,1788,2010,10250,4
22,서초구,국민기초생활보장수급권자,538,2010,6367,20
23,강남구,국민기초생활보장수급권자,1159,2010,8484,11
24,송파구,국민기초생활보장수급권자,976,2010,9843,5
25,강동구,국민기초생활보장수급권자,1483,2010,8079,13
26,종로구,저소득,182,2010,6009,22
27,중구,저소득,130,2010,4788,24
28,용산구,저소득,2062,2010,7365,17
29,성동구,저소득,324,2010,7627,16
30,광진구,저소득,235,2010,7279,18
31,동대문구,저소득,237,2010,5033,23
32,중랑구,저소득,295,2010,8694,8
33,성북구,저소득,4667,2010,7112,19
34,강북구,저소득,1147,2010,8839,7
35,도봉구,저소득,3423,2010,6265,21
36,노원구,저소득,843,2010,12730,1
37,은평구,저소득,299,2010,12401,2
38,서대문구,저소득,374,2010,8210,12
39,마포구,저소득,179,2010,8676,9
40,양천구,저소득,277,2010,8075,14
41,강서구,저소득,549,2010,10577,3
42,구로구,저소득,210,2010,8024,15
43,금천구,저소득,592,2010,4660,25
44,영등포구,저소득,469,2010,8955,6
45,동작구,저소득,123,2010,8638,10
46,관악구,저소득,5178,2010,10250,4
47,서초구,저소득,1416,2010,6367,20
48,강남구,저소득,1897,2010,8484,11
49,송파구,저소득,723,2010,9843,5
50,강동구,저소득,908,2010,8079,13
51,종로구,일반,4939,2010,6009,22
52,중구,일반,3754,2010,4788,24
53,용산구,일반,4114,2010,7365,17
54,성동구,일반,6148,2010,7627,16
55,광진구,일반,5868,2010,7279,18
56,동대문구,일반,3584,2010,5033,23
57,중랑구,일반,6572,2010,8694,8
58,성북구,일반,1288,2010,7112,19
59,강북구,일반,5939,2010,8839,7
60,도봉구,일반,2140,2010,6265,21
61,노원구,일반,9277,2010,12730,1
62,은평구,일반,10307,2010,12401,2
63,서대문구,일반,6752,2010,8210,12
64,마포구,일반,7338,2010,8676,9
65,양천구,일반,6428,2010,8075,14
66,강서구,일반,7585,2010,10577,3
67,구로구,일반,6508,2010,8024,15
68,금천구,일반,2619,2010,4660,25
69,영등포구,일반,6698,2010,8955,6
70,동작구,일반,7089,2010,8638,10
71,관악구,일반,3284,2010,10250,4
72,서초구,일반,4413,2010,6367,20
73,강남구,일반,5428,2010,8484,11
74,송파구,일반,8144,2010,9843,5
75,강동구,일반,5688,2010,8079,13